model,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,training_time_sec,num_parameters,num_classes
custom_cnn,0.643128067826863,0.6521999224929655,0.643128067826863,0.6424467892882555,0.6485819168967542,0.6461719097391537,0.6419913311272535,4516.927797794342,429295,47
mobilenetv2,0.9464524765729585,0.9469876705659912,0.9464524765729585,0.946482377068004,0.9451392874166575,0.9462473701328059,0.9454448846089024,5355.641909122467,2428015,47
resnet50,0.9540383757251227,0.9543869407801538,0.9540383757251227,0.9539706085741491,0.9529598964950069,0.9541054607176461,0.9532684641313417,5689.209918022156,23856047,47
