accuracy,loss,val_accuracy,val_loss,learning_rate
0.38280221819877625,2.3645832538604736,0.6815037727355957,1.1761480569839478,9.999999747378752e-05
0.6798307299613953,1.1634329557418823,0.7978581190109253,0.713548481464386,9.999999747378752e-05
0.7881475687026978,0.765930712223053,0.858433723449707,0.5016820430755615,9.999999747378752e-05
0.8381583094596863,0.5717589855194092,0.877621591091156,0.44366565346717834,9.999999747378752e-05
0.8675623536109924,0.46068596839904785,0.879964292049408,0.40517473220825195,9.999999747378752e-05
0.8894599676132202,0.3894193470478058,0.9033913612365723,0.33029261231422424,9.999999747378752e-05
0.9033252596855164,0.33497756719589233,0.9028335809707642,0.3390147089958191,9.999999747378752e-05
0.9148239493370056,0.288778156042099,0.9078536629676819,0.3198242783546448,9.999999747378752e-05
0.9200114607810974,0.27049410343170166,0.9139893054962158,0.2956993877887726,9.999999747378752e-05
0.9281393885612488,0.2406415492296219,0.9105309844017029,0.30898332595825195,9.999999747378752e-05
0.9321316480636597,0.22637636959552765,0.9153279662132263,0.29521581530570984,9.999999747378752e-05
0.9387774467468262,0.19878916442394257,0.9154395461082458,0.2960844039916992,9.999999747378752e-05
0.9409289956092834,0.19246824085712433,0.9180053472518921,0.28591370582580566,9.999999747378752e-05
0.9453993439674377,0.17530663311481476,0.920348048210144,0.28176090121269226,9.999999747378752e-05
0.9486983418464661,0.16489920020103455,0.9196786880493164,0.2856103777885437,9.999999747378752e-05
0.9508259296417236,0.15821121633052826,0.9282686114311218,0.23840674757957458,9.999999747378752e-05
0.9528340101242065,0.15073521435260773,0.9296073317527771,0.2322341650724411,9.999999747378752e-05
0.9536946415901184,0.14312708377838135,0.9280455112457275,0.2615402042865753,9.999999747378752e-05
0.9562047123908997,0.13406962156295776,0.9278224110603333,0.25130394101142883,9.999999747378752e-05
0.9700939655303955,0.08874333649873734,0.9434404373168945,0.19370220601558685,4.999999873689376e-05
0.9727236032485962,0.07707393914461136,0.9408746361732483,0.20249827206134796,4.999999873689376e-05
0.9735602736473083,0.0722460001707077,0.9434404373168945,0.20875301957130432,4.999999873689376e-05
0.9799430966377258,0.05518918111920357,0.9465640187263489,0.2025538831949234,2.499999936844688e-05
0.9811862111091614,0.04976225644350052,0.9480142593383789,0.18926650285720825,2.499999936844688e-05
0.9823575615882874,0.04691235348582268,0.9487951993942261,0.18799357116222382,2.499999936844688e-05
0.9825488328933716,0.04468776285648346,0.9484605193138123,0.1935744732618332,2.499999936844688e-05
0.983552873134613,0.043449804186820984,0.9486836194992065,0.19467268884181976,2.499999936844688e-05
0.9849154949188232,0.037580233067274094,0.9502454400062561,0.19033443927764893,1.249999968422344e-05
0.9859673380851746,0.0356631800532341,0.9499107599258423,0.1979123204946518,1.249999968422344e-05
