accuracy,loss,val_accuracy,val_loss,learning_rate
0.2991800308227539,2.667987585067749,0.584002673625946,1.5241446495056152,9.999999747378752e-05
0.5757213830947876,1.5544761419296265,0.7051539421081543,1.0551732778549194,9.999999747378752e-05
0.6853529810905457,1.120980143547058,0.7576974630355835,0.8370929956436157,9.999999747378752e-05
0.7504482269287109,0.8783819079399109,0.814257025718689,0.6354209780693054,9.999999747378752e-05
0.7962515950202942,0.7086795568466187,0.8332217931747437,0.5741447806358337,9.999999747378752e-05
0.8250579833984375,0.6039586067199707,0.8490629196166992,0.5171334743499756,9.999999747378752e-05
0.8452582955360413,0.5259114503860474,0.8652387261390686,0.45433753728866577,9.999999747378752e-05
0.8629007339477539,0.46884724497795105,0.8763944506645203,0.4349067509174347,9.999999747378752e-05
0.874805748462677,0.4290858507156372,0.877621591091156,0.4203895330429077,9.999999747378752e-05
0.8857306838035583,0.38647037744522095,0.8939089775085449,0.34761372208595276,9.999999747378752e-05
0.8954125046730042,0.3544470965862274,0.8916777968406677,0.35383129119873047,9.999999747378752e-05
0.9013650417327881,0.32851579785346985,0.896809458732605,0.36466139554977417,9.999999747378752e-05
0.9250316619873047,0.24734273552894592,0.9195671677589417,0.2616601586341858,4.999999873689376e-05
0.932275116443634,0.2204258292913437,0.9230254292488098,0.2509283125400543,4.999999873689376e-05
0.9328966736793518,0.2164243459701538,0.9214636087417603,0.25595226883888245,4.999999873689376e-05
0.9400922656059265,0.19072046875953674,0.9243641495704651,0.24801331758499146,4.999999873689376e-05
0.9421481490135193,0.1815592497587204,0.9225792288780212,0.2579001486301422,4.999999873689376e-05
0.9465707540512085,0.17041712999343872,0.9242525696754456,0.25863391160964966,4.999999873689376e-05
0.9532642960548401,0.15019738674163818,0.9337349534034729,0.2216963768005371,2.499999936844688e-05
0.9560613036155701,0.13731804490089417,0.9331771731376648,0.2192360758781433,2.499999936844688e-05
0.9566589593887329,0.1324034035205841,0.9341811537742615,0.21669210493564606,2.499999936844688e-05
0.9594081044197083,0.12278302758932114,0.9371932148933411,0.20860369503498077,2.499999936844688e-05
0.9622050523757935,0.1155339777469635,0.9377509951591492,0.21140654385089874,2.499999936844688e-05
0.9623724222183228,0.11717125028371811,0.9370816349983215,0.2096213698387146,2.499999936844688e-05
0.9658626317977905,0.10479382425546646,0.9384203553199768,0.20158925652503967,1.249999968422344e-05
0.9673208594322205,0.09923554211854935,0.938085675239563,0.20619142055511475,1.249999968422344e-05
0.9676077365875244,0.09647432714700699,0.9393128156661987,0.20296408236026764,1.249999968422344e-05
0.9692811369895935,0.093064084649086,0.9412092566490173,0.19965529441833496,6.24999984211172e-06
0.971074104309082,0.08789259195327759,0.9415439367294312,0.19734376668930054,6.24999984211172e-06
0.9703569412231445,0.0890272781252861,0.9419901967048645,0.19724507629871368,6.24999984211172e-06
0.9710023403167725,0.08616069704294205,0.9419901967048645,0.1976529061794281,6.24999984211172e-06
0.9709067344665527,0.08554135262966156,0.9429941773414612,0.1958681344985962,3.12499992105586e-06
0.9727236032485962,0.08194822072982788,0.9423248767852783,0.19584669172763824,3.12499992105586e-06
0.9718151688575745,0.07957124710083008,0.9410977363586426,0.19632335007190704,3.12499992105586e-06
0.9730821847915649,0.08221086114645004,0.9414324164390564,0.1952485293149948,1.56249996052793e-06
0.9722693562507629,0.08021976798772812,0.9427710771560669,0.194576233625412,1.56249996052793e-06
0.9730343818664551,0.07952927052974701,0.9412092566490173,0.194553941488266,1.56249996052793e-06
0.9734885692596436,0.07681486755609512,0.9412092566490173,0.1949438601732254,1.56249996052793e-06
0.9727236032485962,0.07855658233165741,0.9416555166244507,0.1947290450334549,9.999999974752427e-07
0.9728909134864807,0.0800066664814949,0.9415439367294312,0.19505229592323303,9.999999974752427e-07
